,neighbourhood,latitude,longitude
Brooklyn,Kensington,40.64749000000001,-73.97237
Manhattan,Midtown,40.75362,-73.98376999999998
Manhattan,Harlem,40.80902,-73.9419
Brooklyn,Clinton Hill,40.68514,-73.95976
Manhattan,East Harlem,40.79851,-73.94399
Manhattan,Murray Hill,40.74767,-73.975
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
Manhattan,Hell's Kitchen,40.76489,-73.98493
Manhattan,Upper West Side,40.80178,-73.96723
Manhattan,Chinatown,40.71344000000001,-73.99037
Manhattan,Upper West Side,40.80316,-73.96545
Manhattan,Hell's Kitchen,40.76076,-73.98867
Brooklyn,South Slope,40.66829,-73.98779
Manhattan,Upper West Side,40.79826,-73.96113000000003
Manhattan,West Village,40.7353,-74.00525
Brooklyn,Williamsburg,40.70837,-73.95352
Brooklyn,Fort Greene,40.69169,-73.97185
Manhattan,Chelsea,40.74192,-73.99501
Brooklyn,Crown Heights,40.67592,-73.94694
Manhattan,East Harlem,40.79685,-73.94872
Brooklyn,Williamsburg,40.71842,-73.95718000000002
Brooklyn,Park Slope,40.68069000000001,-73.97706
Brooklyn,Park Slope,40.67989,-73.97798
Brooklyn,Park Slope,40.68001,-73.97865
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028
Brooklyn,Windsor Terrace,40.65599,-73.97519
Manhattan,Inwood,40.86754000000001,-73.92639
Manhattan,Hell's Kitchen,40.76715,-73.98533
Manhattan,Inwood,40.86482,-73.92106
Manhattan,East Village,40.7292,-73.98541999999998
Manhattan,Harlem,40.82245,-73.95104
Manhattan,Harlem,40.81305,-73.95466
Brooklyn,Greenpoint,40.72219000000001,-73.93762
Manhattan,Harlem,40.8213,-73.95318
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473
Brooklyn,South Slope,40.66869000000001,-73.9878
Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312
Brooklyn,Bushwick,40.70186,-73.92745
Brooklyn,Flatbush,40.63702,-73.96327
Manhattan,Lower East Side,40.71401,-73.98917
Manhattan,East Village,40.7229,-73.98199
Brooklyn,South Slope,40.66278,-73.97966
Brooklyn,Fort Greene,40.69673,-73.97584
Manhattan,Upper West Side,40.79009,-73.97927
Manhattan,Harlem,40.81175,-73.94478000000002
Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238000000002
Queens,Long Island City,40.74771,-73.9474
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409
Brooklyn,Fort Greene,40.69142,-73.97376
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934
Manhattan,Upper West Side,40.78635,-73.97008000000002
Brooklyn,Williamsburg,40.7042,-73.9356
Brooklyn,Greenpoint,40.73506,-73.95392
Manhattan,Kips Bay,40.73961,-73.98074
Brooklyn,Williamsburg,40.70881,-73.9593
Manhattan,Lower East Side,40.72004,-73.99104
Manhattan,Hell's Kitchen,40.75531,-73.99293
Brooklyn,Greenpoint,40.72401,-73.93788
Manhattan,SoHo,40.7221,-73.99775
Brooklyn,Williamsburg,40.71185,-73.96204
Manhattan,Chelsea,40.74623,-73.9953
Manhattan,Upper East Side,40.77065,-73.95269
Brooklyn,Prospect Heights,40.67811,-73.96428
Brooklyn,Clinton Hill,40.69,-73.96788000000002
Manhattan,Hell's Kitchen,40.75979,-73.99119
Brooklyn,Park Slope,40.67343,-73.98338000000003
Manhattan,East Village,40.72649000000001,-73.97904
Brooklyn,Williamsburg,40.70933,-73.96791999999998
Manhattan,East Village,40.72298,-73.98474
Manhattan,East Harlem,40.80164,-73.93921999999998
Manhattan,East Village,40.72162,-73.98008
Manhattan,Hell's Kitchen,40.76342,-73.98865
Manhattan,Washington Heights,40.83139,-73.94095
Brooklyn,Clinton Hill,40.68346,-73.96374
Manhattan,East Village,40.72828,-73.98801
Manhattan,Upper East Side,40.76865,-73.95058
Queens,Woodside,40.75038,-73.90334
Brooklyn,Fort Greene,40.6932,-73.97267
Manhattan,Chelsea,40.74138,-74.00197
Brooklyn,Williamsburg,40.71154,-73.96112
Manhattan,Harlem,40.82915,-73.95136
Manhattan,Lower East Side,40.71851,-73.98892
Brooklyn,Flatbush,40.65401,-73.96323000000002
Manhattan,Lower East Side,40.7114,-73.98794000000002
Brooklyn,Brooklyn Heights,40.69723,-73.99268000000002
Brooklyn,Williamsburg,40.71833,-73.95748
Manhattan,East Village,40.72334,-73.9844
Manhattan,East Village,40.72912,-73.98057
Brooklyn,Williamsburg,40.71156,-73.96218
Brooklyn,Bushwick,40.70032,-73.9383
Brooklyn,Prospect Heights,40.68233,-73.97261
Brooklyn,Clinton Hill,40.68634,-73.96600000000002
Brooklyn,Prospect Heights,40.68035,-73.97162
Brooklyn,Williamsburg,40.70984,-73.95775
